zip,population,borough,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
11368,112088,QUEENS,76.49,11.6,0.09,7.12,3.73,0,0.37,0.6,19.69
11385,107796,QUEENS,45.05,6.46,0.03,1.77,45.28,0,0.32,1.09,10.68
11211,103123,BROOKLYN,24.13,5.53,0.19,3.56,64.24,0.02,0.29,2.05,25.22
11208,101313,BROOKLYN,40.58,6.01,0.03,48.89,2.71,0,0.76,1.02,25.68
10467,101255,BRONX,52.08,5.68,0.35,30.43,9.24,0.02,0.76,1.44,25.2
11236,100844,BROOKLYN,7.66,2.58,0.09,83.95,4.13,0,0.44,1.16,12.53
11226,99558,BROOKLYN,16.4,3.07,0.15,64.8,12.99,0,0.71,1.87,15.74
11373,94437,QUEENS,41.69,48.47,0.34,1.62,6.18,0.01,0.5,1.2,13.1
11234,93534,BROOKLYN,11.09,7.19,0.13,42.94,37.24,0,0.26,1.14,7.51
11220,93170,BROOKLYN,41.33,41.35,0.07,1.9,13.86,0,0.25,1.22,27.25
10456,92717,BRONX,59.11,0.63,0.6,36.56,1.66,0,0.42,1.02,37.16
11214,92644,BROOKLYN,17.9,36.87,0.07,1.48,40.93,0.01,0.43,2.32,16.29
10025,92251,MANHATTAN,23.56,9.69,0.09,9.49,54.4,0.01,0.45,2.3,14.27
11207,91083,BROOKLYN,31.63,1.78,0.17,58.8,4.97,0.07,1.46,1.12,28.5
10314,89792,STATEN ISLAND,15.26,16.73,0.04,3.19,62.43,0.08,0.11,2.15,9.13
11219,89371,BROOKLYN,13.24,23.72,0.15,1.04,60.95,0,0.36,0.54,34.96
11206,88422,MANHATTAN,37.56,6.7,0.17,19.72,34.1,0.05,0.12,1.58,34.92
11206,88422,BROOKLYN,37.56,6.7,0.17,19.72,34.1,0.05,0.12,1.58,34.92
11230,86139,BROOKLYN,10.21,13.22,0.39,7,66.28,0.03,0.33,2.53,19.92
10458,85620,BRONX,70.87,2.91,0.11,16.54,7.98,0.06,0.27,1.26,34.02
11377,83825,QUEENS,37.53,36.85,0.15,2.2,20.71,0,0.43,2.13,10.81
11221,83322,BROOKLYN,33.91,3.47,0.19,42.77,17.37,0.01,0.42,1.86,21.34
11229,83119,BROOKLYN,11.1,22.78,0.08,5.39,58.04,0.05,0.08,2.49,13.64
10453,81716,BRONX,69.16,1.48,0.03,26.49,1.48,0,0.58,0.78,37.77
11223,81388,BROOKLYN,14.53,25.14,0.23,3.88,52.67,0.18,0.29,3.08,18.65
11355,80987,QUEENS,15.47,72.49,0.48,2.75,7.21,0.03,0.41,1.17,21.76
11233,79439,BROOKLYN,15.25,1.87,0.11,72.16,8.7,0.02,0.12,1.76,27.14
10468,78881,BRONX,76.82,2.25,0.42,16.1,2.94,0,0.72,0.75,29.75
11235,78775,BROOKLYN,7.67,13.64,0.09,1.95,72.82,0,0.28,3.55,17.12
10029,76713,MANHATTAN,46.59,9,0.09,27.21,15.42,0.02,0.39,1.27,32.86
11204,76395,BROOKLYN,11.17,32.68,0.28,1.1,52.71,0.01,0.19,1.85,20.8
11203,76085,BROOKLYN,6.42,1.72,0.18,86.33,3.73,0,0.21,1.41,14.55
